iter	Passed	Remaining
0	135	135116
1	135	67788
2	136	45341
3	137	34166
4	138	27549
5	139	23052
6	139	19818
7	140	17399
8	140	15506
9	141	13992
10	141	12754
11	142	11723
12	142	10851
13	143	10103
14	143	9453
15	144	8882
16	145	8387
17	145	7944
18	146	7544
19	146	7184
20	147	6858
21	147	6567
22	148	6297
23	148	6049
24	149	5822
25	149	5612
26	150	5415
27	150	5233
28	151	5065
29	151	4907
30	152	4761
31	152	4624
32	153	4499
33	154	4378
34	154	4264
35	155	4156
36	155	4052
37	156	3955
38	156	3863
39	157	3776
40	157	3693
41	158	3614
42	158	3538
43	159	3465
44	160	3395
45	160	3329
46	161	3268
47	161	3209
48	162	3150
49	162	3095
50	163	3041
51	164	2989
52	164	2939
53	165	2891
54	165	2844
55	166	2799
56	166	2755
57	167	2715
58	167	2677
59	168	2640
60	169	2603
61	169	2567
62	170	2532
63	170	2498
64	171	2464
65	171	2433
66	172	2401
67	173	2371
68	173	2341
69	174	2313
70	174	2284
71	175	2257
72	175	2230
73	176	2204
74	176	2179
75	177	2154
76	177	2129
77	178	2106
78	178	2083
79	179	2061
80	179	2039
81	180	2018
82	180	1995
83	181	1976
84	181	1956
85	182	1938
86	182	1920
87	183	1901
88	184	1883
89	184	1865
90	185	1848
91	185	1831
92	186	1814
93	186	1797
94	186	1781
95	187	1765
96	187	1749
97	188	1734
98	188	1719
99	189	1705
100	189	1690
101	190	1676
102	190	1662
103	191	1649
104	191	1635
105	192	1622
106	192	1609
107	193	1596
108	193	1584
109	194	1572
110	194	1560
111	195	1548
112	195	1537
113	196	1525
114	197	1517
115	197	1507
116	199	1502
117	199	1492
118	200	1481
119	200	1470
120	201	1460
121	201	1450
122	201	1440
123	202	1430
124	203	1421
125	203	1411
126	203	1402
127	204	1393
128	204	1384
129	205	1375
130	205	1366
131	206	1357
132	207	1349
133	207	1341
134	208	1333
135	208	1324
136	209	1317
137	209	1309
138	210	1301
139	210	1293
140	211	1286
141	211	1277
142	212	1271
143	212	1264
144	213	1257
145	213	1251
146	214	1244
147	215	1238
148	215	1231
149	216	1224
150	216	1218
151	217	1212
152	217	1205
153	218	1199
154	218	1192
155	219	1185
156	219	1179
157	220	1173
158	220	1166
159	221	1160
160	221	1153
161	221	1147
162	222	1142
163	222	1136
164	223	1130
165	223	1124
166	224	1119
167	224	1113
168	225	1108
169	225	1102
170	226	1097
171	226	1091
172	227	1087
173	228	1082
174	229	1079
175	229	1075
176	230	1070
177	230	1064
178	231	1059
179	231	1055
180	232	1050
181	232	1045
182	233	1040
183	233	1035
184	234	1030
185	234	1026
186	234	1021
187	235	1017
188	236	1012
189	236	1008
190	236	1003
191	237	999
192	237	994
193	238	990
194	238	986
195	239	981
196	239	977
197	240	973
198	240	969
199	241	964
200	241	960
201	242	957
202	243	954
203	243	950
204	244	946
205	244	943
206	245	939
207	245	935
208	246	931
209	246	927
210	247	923
211	247	920
212	248	916
213	248	913
214	249	909
215	249	906
216	250	902
217	250	899
218	251	896
219	251	892
220	252	889
221	252	885
222	253	882
223	253	878
224	254	875
225	254	871
226	255	868
227	255	864
228	255	861
229	256	858
230	256	855
231	257	852
232	258	849
233	258	847
234	259	844
235	259	841
236	260	838
237	260	835
238	261	832
239	262	829
240	262	827
241	263	824
242	263	821
243	264	818
244	264	815
245	265	812
246	265	809
247	266	806
248	266	804
249	267	801
250	267	798
251	268	795
252	268	792
253	268	790
254	269	787
255	269	784
256	270	781
257	271	779
258	271	776
259	272	774
260	272	772
261	273	769
262	273	767
263	274	765
264	274	762
265	275	760
266	275	757
267	276	755
268	276	752
269	277	750
270	277	747
271	278	745
272	278	742
273	279	740
274	279	738
275	280	735
276	280	733
277	281	730
278	281	728
279	282	726
280	282	723
281	283	721
282	283	719
283	284	717
284	284	714
285	285	712
286	285	710
287	286	708
288	286	705
289	287	704
290	288	702
291	288	700
292	289	698
293	289	695
294	290	693
295	290	691
296	291	689
297	291	687
298	292	685
299	292	682
300	293	680
301	293	678
302	294	676
303	294	674
304	295	672
305	295	670
306	295	668
307	296	666
308	296	663
309	297	661
310	298	661
311	298	659
312	299	657
313	299	655
314	300	653
315	300	651
316	301	649
317	301	647
318	302	645
319	303	644
320	303	642
321	304	640
322	304	638
323	305	636
324	305	634
325	306	632
326	306	631
327	307	630
328	308	628
329	308	626
330	309	624
331	309	622
332	309	620
333	310	619
334	310	617
335	311	615
336	311	613
337	312	611
338	312	610
339	313	608
340	313	606
341	314	604
342	314	602
343	315	601
344	315	599
345	316	597
346	316	595
347	317	594
348	317	592
349	318	591
350	318	589
351	319	588
352	320	586
353	320	584
354	320	583
355	321	581
356	321	579
357	322	578
358	322	576
359	323	575
360	323	573
361	324	571
362	325	570
363	325	568
364	326	567
365	326	565
366	327	564
367	327	562
368	328	561
369	328	559
370	329	558
371	329	556
372	330	554
373	330	553
374	331	551
375	331	550
376	332	548
377	332	547
378	333	545
379	333	544
380	334	542
381	334	541
382	335	540
383	335	538
384	336	537
385	336	535
386	337	534
387	337	532
388	338	531
389	338	530
390	339	528
391	339	527
392	340	525
393	340	524
394	341	522
395	341	521
396	342	519
397	342	518
398	343	517
399	343	515
400	344	514
401	344	512
402	345	511
403	345	509
404	346	508
405	346	507
406	347	505
407	347	504
408	348	503
409	349	502
410	349	500
411	350	499
412	350	498
413	351	497
414	351	495
415	353	495
416	353	494
417	353	492
418	354	491
419	354	490
420	355	488
421	355	487
422	356	486
423	356	484
424	357	483
425	357	481
426	358	480
427	358	479
428	359	477
429	359	476
430	360	475
431	360	474
432	361	472
433	361	471
434	361	470
435	362	469
436	363	467
437	363	466
438	364	465
439	364	464
440	365	462
441	365	461
442	366	460
443	366	459
444	367	457
445	367	456
446	368	455
447	368	454
448	368	452
449	369	451
450	369	450
451	370	449
452	370	447
453	371	446
454	371	445
455	372	444
456	372	442
457	373	441
458	373	440
459	374	439
460	374	438
461	375	436
462	375	435
463	376	434
464	376	433
465	377	432
466	377	431
467	378	430
468	378	428
469	379	427
470	379	426
471	380	425
472	381	424
473	381	423
474	382	422
475	382	421
476	383	420
477	383	418
478	384	418
479	384	416
480	385	415
481	385	414
482	386	413
483	386	412
484	387	411
485	387	410
486	388	408
487	388	407
488	389	406
489	389	405
490	390	404
491	390	403
492	391	402
493	391	401
494	392	399
495	392	399
496	393	398
497	393	397
498	394	395
499	394	394
500	395	393
501	395	392
502	396	391
503	396	390
504	397	389
505	398	388
506	398	387
507	399	386
508	399	385
509	400	384
510	400	383
511	401	382
512	401	381
513	402	380
514	402	379
515	402	377
516	403	376
517	403	375
518	404	374
519	404	373
520	405	372
521	405	371
522	406	370
523	406	369
524	407	368
525	407	367
526	408	366
527	409	365
528	409	364
529	410	364
530	410	362
531	411	361
532	411	360
533	412	359
534	413	358
535	413	357
536	414	357
537	414	355
538	414	354
539	415	353
540	415	352
541	416	351
542	416	350
543	417	349
544	417	348
545	418	347
546	418	346
547	419	345
548	419	344
549	420	343
550	420	342
551	421	341
552	421	340
553	422	339
554	422	338
555	423	338
556	423	337
557	424	336
558	424	335
559	425	334
560	425	333
561	426	332
562	426	331
563	427	330
564	427	329
565	428	328
566	428	327
567	429	326
568	429	325
569	430	324
570	430	323
571	431	322
572	431	321
573	432	320
574	432	319
575	433	318
576	433	317
577	434	316
578	434	315
579	435	315
580	435	314
581	436	313
582	436	312
583	436	311
584	437	310
585	438	309
586	438	308
587	439	307
588	439	306
589	440	306
590	440	305
591	441	304
592	441	303
593	442	302
594	442	301
595	443	300
596	443	299
597	444	298
598	444	297
599	445	296
600	445	296
601	446	295
602	446	294
603	447	293
604	447	292
605	448	291
606	448	290
607	449	289
608	450	289
609	450	288
610	451	287
611	451	286
612	452	285
613	452	284
614	453	283
615	453	282
616	454	282
617	454	281
618	455	280
619	455	279
620	456	278
621	456	277
622	457	276
623	457	275
624	458	274
625	458	274
626	459	273
627	460	272
628	460	271
629	461	270
630	461	270
631	462	269
632	462	268
633	463	267
634	463	266
635	464	265
636	464	264
637	465	264
638	465	263
639	466	262
640	466	261
641	467	260
642	467	259
643	468	259
644	469	258
645	469	257
646	470	256
647	470	255
648	471	254
649	471	254
650	472	253
651	472	252
652	473	251
653	473	250
654	474	249
655	474	248
656	475	248
657	475	247
658	476	246
659	476	245
660	476	244
661	477	243
662	477	242
663	478	242
664	478	241
665	479	240
666	479	239
667	480	238
668	480	237
669	481	237
670	481	236
671	482	235
672	482	234
673	483	233
674	483	232
675	484	232
676	484	231
677	485	230
678	485	229
679	486	228
680	486	228
681	487	227
682	487	226
683	488	225
684	488	224
685	489	223
686	489	223
687	490	222
688	490	221
689	491	220
690	491	219
691	491	218
692	492	218
693	492	217
694	493	216
695	493	215
696	494	214
697	495	214
698	495	213
699	496	212
700	496	211
701	497	211
702	497	210
703	498	209
704	499	208
705	499	208
706	500	207
707	500	206
708	501	205
709	502	205
710	502	204
711	503	203
712	503	202
713	504	201
714	504	201
715	505	200
716	505	199
717	506	198
718	506	198
719	507	197
720	507	196
721	508	195
722	508	194
723	509	194
724	509	193
725	510	192
726	510	191
727	511	191
